============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 keV) ==> Tungsten+SiO@2+Silicon(  2.5 um) ===========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B  634  1 ,9605066E+04 -  1082771E-06  ,6044E+03 -,6748E+02  -,6976443 -,0594786 -,7139711
B  635  1 ,9641937E+04 -  1231637E-06  ,5562E+03  ,1057E+03  -,8592347 -,3878630  ,3335838
B  636  1 ,8960197E+04 -  6987505E-07  ,9486E+03 -,3072E+03  -,8397848  ,4417803 -,3155814
B  638  1 ,9904899E+04 -  1656813E-06  ,8662E+03 -,5275E+02  -,7910817  ,2456167  ,5602341
B  641  1 ,3146676E+04 -  6242077E-07  ,5946E+03  ,1979E+03  -,3559680  ,5777947 -,7344659
B  644  1 ,1940133E+03 -  1118957E-06  ,1240E+04  ,3413E+02  -,4834129 -,6162623  ,6217176
B  646  1 ,3139090E+04 -  8365177E-07  ,3757E+03  ,6978E+03  -,8487714  ,5112836 -,1348192
B  650  1 ,1152158E+05 -  2124886E-07  ,7097E+03 -,6423E+02  -,0900782  ,9664716 -,2404550
B  651  1 ,1091390E+05 -  4122243E-07  ,4268E+03  ,1520E+03  -,7835391  ,6124934  ,1044908
B  654  1 ,6573833E+03 -  7035096E-07 -,7084E+02  ,4426E+03  -,2960557 -,5369653 -,7899489
B  657  1 ,1961460E+05 -  5504686E-07  ,6340E+02  ,1889E+02  -,2686377  ,7904340  ,5504979
B  660  1 ,1393026E+04 -  1854813E-06  ,1588E+03  ,1219E+04  -,9541564  ,1104815  ,2781716
B  662  1 ,1638731E+05 -  6358634E-07  ,4527E+03 -,3581E+02  -,7893089  ,5599744 -,2518335
B  665  1 ,4241722E+04 -  1783559E-06  ,8878E+03  ,2967E+03  -,7829521 -,6014326  ,1589491
B  666  1 ,1131833E+05 -  7878551E-07  ,7807E+03  ,1208E+03  -,5441053  ,7894796  ,2840270
B  667  1 ,1049170E+05 -  1652850E-08  ,7630E+03 -,3229E+03  -,3003986  ,8116854 -,5009267
B  670  1 ,1271568E+05 -  4591632E-07  ,6701E+03  ,8425E+02  -,3521387  ,8839193  ,3077093
B  672  1 ,4332988E+04 -  1845238E-06  ,1102E+04 -,1227E+02  -,9374818  ,3266310 -,1201665
B  676  1 ,1788638E+04 -  3372595E-07  ,3319E+02 -,2818E+03  -,3675705 -,8964493 -,2475288
B  677  1 ,4740447E+04 -  6798785E-07  ,1728E+04 -,3715E+03  -,6942702  ,6826080  ,2281125
B  680  1 ,4659260E+04 -  1543998E-07  ,3953E+03 -,4036E+03  -,4422250  ,8116467  ,3816631
B  683  1 ,2187341E+04 -  8431547E-07  ,7925E+03 -,9203E+03  -,7693285 -,6239425 -,1372204
B  685  1 ,7989299E+04 -  2022919E-06  ,1214E+04 -,9505E+02  -,9912442  ,0431216 -,1248017
B  689  1 ,4712733E+04 -  1693029E-07  ,7031E+03  ,3137E+03  -,4274223  ,4969713  ,7552017
B  692  1 ,5219127E+04 -  9919598E-07  ,6558E+03  ,1700E+03  -,8309064 -,3461854  ,4356033
B  693  1 ,5793688E+04 -  1156222E-06  ,9534E+03 -,7862E+02  -,4783883  ,8393606  ,2581055
B  697  1 ,7693005E+04 -  5967128E-07  ,5059E+03  ,7555E+03  -,7906888  ,0051203  ,6121968
B  700  1 ,1395999E+05 -  3401259E-07  ,7364E+03 -,1241E+03  -,2723026  ,9562966 -,1065271
B  708  1 ,1035994E+05 -  1309491E-06  ,1064E+04 -,4146E+02  -,5506172  ,8231337 -,1388223
B  709  1 ,1031405E+05 -  1210842E-06  ,4658E+03  ,6318E+01  -,5690237  ,8105167 -,1388335
B  710  1 ,9859059E+04 -  4058851E-07  ,4633E+03 -,8830E+02  -,5509217  ,8089444  ,2051686
B  713  1 ,3230223E+04 -  3575210E-07  ,1743E+04  ,5476E+03  -,4635442  ,6536299  ,5982430
B  715  1 ,5250471E+04 -  3320713E-07  ,5691E+03 -,4884E+03  -,8424693 -,5376922  ,0336520
B  718  1 ,7377296E+04 -  2889596E-07  ,3136E+03 -,5811E+03  -,4074476 -,6937121 -,5939276
B  720  1 ,8909421E+04 -  2743344E-07  ,6243E+03  ,1127E+03  -,5787091  ,5729816 -,5803342
B  725  1 ,6697491E+04 -  1006486E-06  ,8117E+03  ,9301E+02  -,6572031 -,5484671 -,5169796
B  728  1 ,1141815E+05 -  3791425E-07  ,6812E+03  ,1815E+03  -,2908707  ,9174213 -,2715373
B  730  1 ,8083718E+04 -  4292053E-07  ,3643E+03 -,1618E+03  -,6911918 -,0188150 -,7224263
B  732  1 ,1096556E+05 -  2884231E-07  ,4132E+03 -,3687E+03  -,4321578  ,4354291 -,7897095
B  736  1 ,1421213E+05 -  9973504E-07  ,4771E+03 -,3280E+03  -,7231527  ,3551414 -,5923890
B  740  1 ,1443129E+05 -  5598157E-07  ,3076E+03  ,7991E+02  -,2306544  ,7510718  ,6186192
B  742  1 ,5180926E+04 -  2377494E-06  ,9743E+03  ,3815E+03  -,9729882  ,0339194 -,2283492
B  748  1 ,1079321E+05 -  2451132E-07  ,5708E+03  ,1822E+02  -,4039518  ,8993631 -,1672395
B  749  1 ,6504480E+04 -  2345201E-07  ,1067E+04  ,1984E+03  -,7821417  ,2781250  ,5575849
B  751  1 ,1261124E+05 -  1355457E-06  ,6785E+01 -,2632E+03  -,7352914 -,6400573 -,2228748
B  752  1 ,5897952E+04 -  2061705E-06  ,1403E+04  ,5032E+02  -,9541543 -,2329774 -,1879122
B  755  1 ,1439634E+05 -  1698815E-06  ,6802E+03 -,4717E+01  -,7109819  ,6040654 -,3600135
B  757  1 ,4509048E+04 -  1185837E-06  ,1560E+04 -,4216E+03  -,6623530  ,7430046 -,0960865
B  759  1 ,1513796E+05 -  8748553E-07  ,6276E+03  ,2283E+03  -,4014797  ,6823222  ,6109422
B  760  1 ,1061581E+05 -  6280022E-07  ,4175E+03  ,1203E+03  -,7138445  ,5066283  ,4834809
B  761  1 ,1894436E+05 -  1074216E-06  ,8391E+02 -,1081E+01  -,6539618  ,7548535 -,0503019
B  763  1 ,1735872E+05 -  3143147E-07  ,2425E+03 -,2835E+02  -,6920155  ,6665172 -,2772532
B  764  1 ,1427548E+05 -  1074052E-06  ,4658E+03  ,2673E+03  -,5331566 -,2927453  ,7937532
B  766  1 ,3926073E+04 -  7474617E-07  ,1087E+04 -,3923E+03  -,6126523 -,7900624  ,0214148
B  767  1 ,2041813E+04 -  1586579E-06  ,9889E+03  ,4263E+03  -,8083120  ,1630836 -,5657167
